Icd;lab_pat;DescrIntervento;CodInterv;Filler
74321;BUFTALMO SEMPLICE;TRABECULECTOMIA AB EXTERNO;1264;
74321;BUFTALMO SEMPLICE;TRABECULOTOMIA AB EXTERNO;1254;
74322;BUFTALMO ASSOCIATO AD ALTRE ANOMALIE OCULARI;ALTRA FISTOLIZZAZIONE SCLERALE CON IRIDECTOMIA;1265;
74322;BUFTALMO ASSOCIATO AD ALTRE ANOMALIE OCULARI;CICLOFOTOCOAGULAZIONE;1273;
74322;BUFTALMO ASSOCIATO AD ALTRE ANOMALIE OCULARI;TRABECULECTOMIA AB EXTERNO;1264;
74322;BUFTALMO ASSOCIATO AD ALTRE ANOMALIE OCULARI;TRABECULOTOMIA AB EXTERNO;1254;
74330;CATARATTA CONGENITA, NON SPECIFICATA;ALTRA ESTRAZIONE DI CATARATTA SECONDARIA;1369;
74330;CATARATTA CONGENITA, NON SPECIFICATA;ALTRA ESTRAZIONE EXTRACAPSULARE DEL CRISTALLINO;1359;
74330;CATARATTA CONGENITA, NON SPECIFICATA;ALTRA ESTRAZIONE INTRACAPSULARE DEL CRISTALLINO;1319;
74330;CATARATTA CONGENITA, NON SPECIFICATA;ALTRA IRIDECTOMIA;1214;
74330;CATARATTA CONGENITA, NON SPECIFICATA;ALTRA IRIDOTOMIA;1212;
74330;CATARATTA CONGENITA, NON SPECIFICATA;ALTRA RIMOZIONE DEL CORPO VITREO;1472;
74330;CATARATTA CONGENITA, NON SPECIFICATA;ALTRA VITRECTOMIA MECCANICA;1474;
74330;CATARATTA CONGENITA, NON SPECIFICATA;ALTRI INTERVENTI SUL CORPO VITREO;1479;
74330;CATARATTA CONGENITA, NON SPECIFICATA;ALTRI INTERVENTI SUL CRISTALLINO;139;
74330;CATARATTA CONGENITA, NON SPECIFICATA;ALTRI INTERVENTI SULLA CORNEA;1199;
74330;CATARATTA CONGENITA, NON SPECIFICATA;ALTRI INTERVENTI SULLA RETINA, SULLA COROIDE E SULLA CAMERA POSTERIORE;149;
74330;CATARATTA CONGENITA, NON SPECIFICATA;ASPORTAZIONE CHIRURGICA DI CATARATTA SECONDARIA;1365;
74330;CATARATTA CONGENITA, NON SPECIFICATA;CAPSULOTOMIA CHIRURGICA DOPO ESTRAZIONE DI CATARATTA;1366;
74330;CATARATTA CONGENITA, NON SPECIFICATA;DACOFRAMMENTAZIONE MECCANICA ED ASPIRAZIONE DELLA CATARATTA;1343;
74330;CATARATTA CONGENITA, NON SPECIFICATA;ESTRAZIONE EXTRACAPSULARE DEL CRISTALLINO CON TECNICA DI ASPIRAZIONE SEMPLICE (E DI IRRIGAZIONE);133;
74330;CATARATTA CONGENITA, NON SPECIFICATA;ESTRAZIONE EXTRACAPSULARE DELLA CATARATTA CON TECNICA DI ESTRAZIONE LINEARE;132;
74330;CATARATTA CONGENITA, NON SPECIFICATA;FACOEMULSIFICAZIONE ED ASPIRAZIONE DI CATARATTA;1341;
74330;CATARATTA CONGENITA, NON SPECIFICATA;FACOFRAMMENTAZIONE ED ASPIRAZIONE DI CATARATTA PER VIA PARS PLANA;1342;
74330;CATARATTA CONGENITA, NON SPECIFICATA;IMPIANTO SECONDARIO DI CRISTALLINO ARTIFICIALE;1372;
74330;CATARATTA CONGENITA, NON SPECIFICATA;INIEZIONE DI SOSTITUTI VITREALI;1475;
74330;CATARATTA CONGENITA, NON SPECIFICATA;INSERZIONE DI CRISTALLINO ARTIFICIALE INTRAOCULARE AL MOMENTO DELLA ESTRAZIONE DI CATARATTA, ESEGUITI IN CONTEMPORANEA;1371;
74330;CATARATTA CONGENITA, NON SPECIFICATA;LISI DI ALTRE SINECHIE ANTERIORI;1232;
74330;CATARATTA CONGENITA, NON SPECIFICATA;LISI DI SINECHIE POSTERIORI;1233;
74330;CATARATTA CONGENITA, NON SPECIFICATA;OFTALMOSCOPIA;1621;
74330;CATARATTA CONGENITA, NON SPECIFICATA;PIOMBAGGIO SCLERALE CON IMPIANTO;1441;
74330;CATARATTA CONGENITA, NON SPECIFICATA;REVISIONE DI FERITA OPERATORIA DEL SEGMENTO ANTERIORE DELL'OCCHIO NON CLASSIFICATA ALTROVE;1283;
74330;CATARATTA CONGENITA, NON SPECIFICATA;RIMOZIONE DI CRISTALLINO IMPIANTATO;138;
74330;CATARATTA CONGENITA, NON SPECIFICATA;TRABECULOTOMIA AB EXTERNO;1254;
74330;CATARATTA CONGENITA, NON SPECIFICATA;TRATTAMENTO DIATERMICO DI LESIONE CORIORETINICA;1421;
74330;CATARATTA CONGENITA, NON SPECIFICATA;VITRECTOMIA MECCANICA PER VIA ANTERIORE;1473;
74330;CATARATTA CONGENITA, NON SPECIFICATA;VITRECTOMIA PER VIA ANTERIORE (LIMBARE);1471;
74331;CATARATTA CAPSULARE E SOTTOCAPSULARE;CAPSULOTOMIA CHIRURGICA DOPO ESTRAZIONE DI CATARATTA;1366;
74331;CATARATTA CAPSULARE E SOTTOCAPSULARE;FACOEMULSIFICAZIONE ED ASPIRAZIONE DI CATARATTA;1341;
74331;CATARATTA CAPSULARE E SOTTOCAPSULARE;INSERZIONE DI CRISTALLINO ARTIFICIALE INTRAOCULARE AL MOMENTO DELLA ESTRAZIONE DI CATARATTA, ESEGUITI IN CONTEMPORANEA;1371;
74331;CATARATTA CAPSULARE E SOTTOCAPSULARE;VITRECTOMIA PER VIA ANTERIORE (LIMBARE);1471;
74332;CATARATTA CORTICALE E ZONULARE;ALTRA ESTRAZIONE DI CATARATTA SECONDARIA;1369;
74332;CATARATTA CORTICALE E ZONULARE;FACOEMULSIFICAZIONE ED ASPIRAZIONE DI CATARATTA;1341;
74332;CATARATTA CORTICALE E ZONULARE;VITRECTOMIA PER VIA ANTERIORE (LIMBARE);1471;
74333;CATARATTA NUCLEARE;ALTRA ESTRAZIONE DI CATARATTA SECONDARIA;1369;
74333;CATARATTA NUCLEARE;ALTRA ESTRAZIONE EXTRACAPSULARE DEL CRISTALLINO;1359;
74333;CATARATTA NUCLEARE;ALTRI INTERVENTI SULLA CORNEA;1199;
74333;CATARATTA NUCLEARE;ASPORTAZIONE CHIRURGICA DI CATARATTA SECONDARIA;1365;
74333;CATARATTA NUCLEARE;CAPSULOTOMIA CHIRURGICA DOPO ESTRAZIONE DI CATARATTA;1366;
74333;CATARATTA NUCLEARE;CAPSULOTOMIA CON YAG-LASER DOPO ESTRAZIONE DI CATARATTA;1364;
74333;CATARATTA NUCLEARE;ESTRAZIONE EXTRACAPSULARE DEL CRISTALLINO CON TECNICA DI ASPIRAZIONE SEMPLICE (E DI IRRIGAZIONE);133;
74333;CATARATTA NUCLEARE;FACOEMULSIFICAZIONE ED ASPIRAZIONE DI CATARATTA;1341;
74333;CATARATTA NUCLEARE;INSERZIONE DI CRISTALLINO ARTIFICIALE INTRAOCULARE AL MOMENTO DELLA ESTRAZIONE DI CATARATTA, ESEGUITI IN CONTEMPORANEA;1371;
74333;CATARATTA NUCLEARE;PARACENTESI DELLA CAMERA ANTERIORE;1291;
74333;CATARATTA NUCLEARE;VITRECTOMIA PER VIA ANTERIORE (LIMBARE);1471;
74334;CATARATTA CONGENITA TOTALE E SUBTOTALE;ALTRA ESTRAZIONE EXTRACAPSULARE DEL CRISTALLINO;1359;
74334;CATARATTA CONGENITA TOTALE E SUBTOTALE;ALTRA IRIDECTOMIA;1214;
74334;CATARATTA CONGENITA TOTALE E SUBTOTALE;ALTRA PROCEDURA DIAGNOSTICA SULL'IRIDE, SUL CORPO CILIARE, SULLA SCLERA E SULLA CAMERA ANTERIORE;1229;
74334;CATARATTA CONGENITA TOTALE E SUBTOTALE;ALTRA RIMOZIONE DEL CORPO VITREO;1472;
74334;CATARATTA CONGENITA TOTALE E SUBTOTALE;ALTRI INTERVENTI SUL CRISTALLINO;139;
74334;CATARATTA CONGENITA TOTALE E SUBTOTALE;ASPORTAZIONE CHIRURGICA DI CATARATTA SECONDARIA;1365;
74334;CATARATTA CONGENITA TOTALE E SUBTOTALE;CAPSULOTOMIA CHIRURGICA DOPO ESTRAZIONE DI CATARATTA;1366;
74334;CATARATTA CONGENITA TOTALE E SUBTOTALE;DACOFRAMMENTAZIONE MECCANICA ED ASPIRAZIONE DELLA CATARATTA;1343;
74334;CATARATTA CONGENITA TOTALE E SUBTOTALE;ESTRAZIONE EXTRACAPSULARE DEL CRISTALLINO CON TECNICA DI ASPIRAZIONE SEMPLICE (E DI IRRIGAZIONE);133;
74334;CATARATTA CONGENITA TOTALE E SUBTOTALE;ESTRAZIONE EXTRACAPSULARE DELLA CATARATTA CON TECNICA DI ESTRAZIONE LINEARE;132;
74334;CATARATTA CONGENITA TOTALE E SUBTOTALE;ESTRAZIONE INTRACAPSULARE DEL CRISTALLINO PER VIA TEMPORALE;1311;
